지운 파일,바이트,이유
calib/th_260914/th_260914_800/192_168_0_151_20260914_190830.y16raw,883200,칸 5.8 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190830.y16meta,15982,칸 5.8 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190830.avi,14828,칸 5.8 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190830.csv,958,칸 5.8 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_183131.y16raw,998400,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_183131.y16meta,16075,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_183131.avi,18668,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_183131.csv,1078,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_before/192_168_0_151_20260914_180721.y16raw,998400,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_before/192_168_0_151_20260914_180721.y16meta,16075,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_before/192_168_0_151_20260914_180721.avi,23644,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_before/192_168_0_151_20260914_180721.csv,1078,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190800.y16raw,883200,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190800.y16meta,15982,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190800.avi,17932,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190800.csv,958,칸 5.7 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190808.y16raw,883200,칸 5.6 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190808.y16meta,15982,칸 5.6 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190808.avi,14132,칸 5.6 px < 6.0 — 너무 멀다
calib/th_260914/th_260914_800/192_168_0_151_20260914_190808.csv,958,칸 5.6 px < 6.0 — 너무 멀다
