날짜,파일,거리_mm,격자,대비_C,자세수,프레임,원래폴더,옛이름,비고
2026-09-14,d0328_20260914_184402,328,7x3,0.57,1,23,th_260914_350,,부분격자
2026-08-28,d0331_20260828_161425,331,7x4,2.64,4,202,th,dUNK_02,전체격자
2026-09-14,d0349_20260914_181238,349,7x4,1.87,1,27,th_260914_before,,전체격자
2026-09-14,d0351_20260914_181300,350,7x4,1.37,0,24,th_260914_before,,전체격자
2026-09-14,d0351_20260914_181411,351,7x4,0.95,1,29,th_260914_before,,전체격자
2026-09-14,d0353_20260914_184412,352,7x4,1.73,0,22,th_260914_350,,전체격자
2026-09-14,d0353_20260914_180655,353,7x4,1.57,1,27,th_260914,,전체격자
2026-09-14,d0362_20260914_181247,362,7x4,0.92,1,24,th_260914_before,,전체격자
2026-08-28,d0364_20260828_161548,364,7x4,1.84,6,354,th,dUNK_03,전체격자
2026-08-28,d0367_20260828_161340,367,7x4,2.89,4,335,th,dUNK_01,전체격자
2026-08-28,d0372_20260828_153901,372,7x4,1.26,1,204,th-test,,전체격자
2026-09-14,d0373_20260914_181332,373,7x4,1.39,1,28,th_260914_before,,전체격자
2026-09-14,d0376_20260914_184231,376,7x4,0.76,1,8,th_260914_350,,전체격자
2026-09-14,d0378_20260914_181822,383,7x4,1.87,0,15,th_260914_before,,전체격자
2026-09-14,d0383_20260914_182751,383,7x3,0.64,1,32,th_260914_400,,부분격자
2026-09-14,d0386_20260914_181358,386,7x4,1.22,1,26,th_260914_before,,전체격자
2026-08-28,d0387_20260828_162609,387,7x4,5.84,1,2139,th350,d350_01,전체격자
2026-09-14,d0387_20260914_185150,387,7x4,1.3,1,23,th_260914_400,,전체격자
2026-09-14,d0392_20260914_180759,392,7x4,1.79,1,25,th_260914_before,,전체격자
2026-08-28,d0398_20260828_162622,398,7x4,5.8,1,46,th350,d350_02,전체격자
2026-08-28,d0398_20260828_162707,398,7x4,5.18,1,35,th400,d400_01,전체격자
2026-09-14,d0398_20260914_181903,398,7x4,1.51,1,24,th_260914_before,,전체격자
2026-08-28,d0400_20260828_162714,400,7x4,5.36,1,34,th400,d400_02,전체격자
2026-09-14,d0403_20260914_182007,400,7x4,1.07,0,26,th_260914_before,,전체격자
2026-09-14,d0407_20260914_181912,407,7x4,1.28,1,28,th_260914_before,,전체격자
2026-09-14,d0420_20260914_175735,420,7x4,1.17,1,24,th_260914,,전체격자
2026-09-14,d0420_20260914_181842,420,7x4,1.78,1,24,th_260914_before,,전체격자
2026-09-14,d0425_20260914_182704,425,7x4,0.74,1,29,th_260914_400,,전체격자
2026-09-14,d0440_20260914_185159,440,7x4,2.01,1,24,th_260914_400,,전체격자
2026-08-28,d0448_20260828_162644,448,7x4,5.14,1,37,th350,d350_03,전체격자
2026-09-14,d0440_20260914_182034,451,7x4,1.21,0,26,th_260914_before,,전체격자
2026-08-28,d0458_20260828_162800,458,7x4,4.06,1,53,th450,d450_02,전체격자
2026-09-14,d0460_20260914_175749,460,7x4,1.23,1,27,th_260914,,전체격자
2026-08-28,d0461_20260828_162752,461,7x4,4.08,1,36,th450,d450_01,전체격자
2026-08-28,d0462_20260828_162811,462,7x3,1.84,0,49,th450,d450_03,부분격자
2026-08-28,d0464_20260828_162721,464,7x3,3.83,0,48,th400,d400_03,부분격자
2026-09-14,d0470_20260914_181957,470,7x4,1.78,1,25,th_260914_before,,전체격자
2026-09-14,d0477_20260914_185245,470,7x4,0.82,0,23,th_260914_500,,전체격자
2026-09-14,d0480_20260914_185237,480,7x4,1.07,1,29,th_260914_500,,전체격자
2026-09-14,d0486_20260914_185225,486,7x4,1.07,1,26,th_260914_500,,전체격자
2026-09-14,d0487_20260914_185614,487,7x4,0.89,1,23,th_260914_500,,전체격자
2026-09-14,d0495_20260914_185535,499,7x4,0.68,0,23,th_260914_500,,전체격자
2026-09-14,d0539_20260914_180743,539,7x4,2.19,1,29,th_260914_before,,전체격자
2026-09-14,d0549_20260914_181505,549,7x4,2.55,1,23,th_260914_before,,전체격자
2026-09-14,d0551_20260914_180826,551,7x4,1.67,1,26,th_260914_before,,전체격자
2026-09-14,d0555_20260914_181313,555,7x4,2.79,1,25,th_260914_before,,전체격자
2026-09-14,d0563_20260914_181429,563,7x4,1.29,1,23,th_260914_before,,전체격자
2026-09-14,d0585_20260914_190116,587,7x4,1.09,0,23,th_260914_600,,전체격자
2026-09-14,d0590_20260914_185708,590,7x4,0.57,1,23,th_260914_600,,전체격자
2026-09-14,d0592_20260914_181441,592,7x4,1.89,1,25,th_260914_before,,전체격자
2026-09-14,d0594_20260914_183034,594,7x3,1.24,0,32,th_260914_600,,부분격자
2026-09-14,d0597_20260914_190106,597,7x4,0.79,1,21,th_260914_600,,전체격자
2026-09-14,d0600_20260914_190140,600,7x4,1.01,1,23,th_260914_600,,전체격자
2026-09-14,d0600_20260914_183057,600,7x4,0.53,1,37,th_260914_600,,전체격자
2026-09-14,d0601_20260914_180708,601,7x4,2.72,1,28,th_260914,,전체격자
2026-09-14,d0602_20260914_190126,602,7x4,0.4,1,22,th_260914_600,,전체격자
2026-09-14,d0605_20260914_183045,605,7x4,1.01,1,25,th_260914_600,,전체격자
2026-09-14,d0609_20260914_185720,610,7x4,0.88,0,22,th_260914_600,,전체격자
2026-09-14,d0646_20260914_182045,646,7x4,0.78,1,26,th_260914_before,,전체격자
2026-09-14,d0649_20260914_180812,649,7x4,1.3,1,23,th_260914_before,,전체격자
2026-09-14,d0652_20260914_190409,652,7x4,0.72,1,23,th_260914_700,,전체격자
